Node,Depth,Value,Alpha,Beta
A3,2,65,65,77
B4,3,29,65,77
A3,2,65,65,77
E4,3,19,65,77
A3,2,65,65,77
A5,3,42,65,77
A3,2,65,65,77
B5,3,47,65,77
A3,2,65,65,77
C5,3,40,65,77
A3,2,65,65,77
D5,3,38,65,77
A3,2,65,65,77
E5,3,27,65,77
A3,2,65,65,77
E1,1,65,53,65
B3,2,-Infinity,53,65
A1,3,17,53,65
B3,2,17,53,65
B1,3,13,53,65
B3,2,17,53,65
A2,3,17,53,65
B3,2,17,53,65
B2,3,105,53,65
B3,2,105,53,65
E1,1,65,53,65
C3,2,-Infinity,53,65
A1,3,52,53,65
C3,2,52,53,65
B1,3,48,53,65
C3,2,52,53,65
A2,3,52,53,65
C3,2,52,53,65
B2,3,44,53,65
C3,2,52,53,65
A3,3,60,53,65
C3,2,60,60,65
B3,3,80,60,65
C3,2,80,60,65
E1,1,65,53,65
E3,2,-Infinity,53,65
A1,3,48,53,65
E3,2,48,53,65
B1,3,44,53,65
E3,2,48,53,65
A2,3,48,53,65
E3,2,48,53,65
B2,3,40,53,65
E3,2,48,53,65
A3,3,56,53,65
E3,2,56,56,65
B3,3,76,56,65
E3,2,76,56,65
E1,1,65,53,65
A4,2,-Infinity,53,65
A1,3,45,53,65
A4,2,45,53,65
B1,3,41,53,65
A4,2,45,53,65
A2,3,45,53,65
A4,2,45,53,65
B2,3,37,53,65
A4,2,45,53,65
A3,3,53,53,65
A4,2,53,53,65
B3,3,73,53,65
A4,2,73,53,65
E1,1,65,53,65
B4,2,-Infinity,53,65
A1,3,53,53,65
B4,2,53,53,65
B1,3,49,53,65
B4,2,53,53,65
A2,3,53,53,65
B4,2,53,53,65
B2,3,45,53,65
B4,2,53,53,65
A3,3,61,53,65
B4,2,61,61,65
B3,3,81,61,65
B4,2,81,61,65
E1,1,65,53,65
E4,2,-Infinity,53,65
A1,3,63,53,65
E4,2,63,63,65
B1,3,59,63,65
E4,2,63,63,65
A2,3,63,63,65
E4,2,63,63,65
B2,3,55,63,65
E4,2,63,63,65
A3,3,71,63,65
E4,2,71,63,65
E1,1,65,53,65
A5,2,-Infinity,53,65
A1,3,40,53,65
A5,2,40,53,65
B1,3,36,53,65
A5,2,40,53,65
A2,3,40,53,65
A5,2,40,53,65
B2,3,32,53,65
A5,2,40,53,65
A3,3,48,53,65
A5,2,48,53,65
B3,3,68,53,65
A5,2,68,53,65
E1,1,65,53,65
B5,2,-Infinity,53,65
A1,3,35,53,65
B5,2,35,53,65
B1,3,31,53,65
B5,2,35,53,65
A2,3,35,53,65
B5,2,35,53,65
B2,3,27,53,65
B5,2,35,53,65
A3,3,43,53,65
B5,2,43,53,65
B3,3,63,53,65
B5,2,63,63,65
C3,3,46,63,65
B5,2,63,63,65
E3,3,18,63,65
B5,2,63,63,65
A4,3,35,63,65
B5,2,63,63,65
B4,3,27,63,65
B5,2,63,63,65
E4,3,17,63,65
B5,2,63,63,65
A5,3,40,63,65
B5,2,63,63,65
C5,3,38,63,65
B5,2,63,63,65
D5,3,36,63,65
B5,2,63,63,65
E5,3,25,63,65
B5,2,63,63,65
E1,1,63,53,63
C5,2,-Infinity,53,63
A1,3,42,53,63
C5,2,42,53,63
B1,3,38,53,63
C5,2,42,53,63
A2,3,42,53,63
C5,2,42,53,63
B2,3,34,53,63
C5,2,42,53,63
A3,3,50,53,63
C5,2,50,53,63
B3,3,70,53,63
C5,2,70,53,63
E1,1,63,53,63
D5,2,-Infinity,53,63
A1,3,44,53,63
D5,2,44,53,63
B1,3,40,53,63
D5,2,44,53,63
A2,3,44,53,63
D5,2,44,53,63
B2,3,36,53,63
D5,2,44,53,63
A3,3,52,53,63
D5,2,52,53,63
B3,3,72,53,63
D5,2,72,53,63
E1,1,63,53,63
E5,2,-Infinity,53,63
A1,3,55,53,63
E5,2,55,55,63
B1,3,51,55,63
E5,2,55,55,63
A2,3,55,55,63
E5,2,55,55,63
B2,3,47,55,63
E5,2,55,55,63
A3,3,63,55,63
E5,2,63,55,63
E1,1,63,53,63
root,0,63,63,Infinity
A2,1,Infinity,63,Infinity
A1,2,-Infinity,63,Infinity
B1,3,71,63,Infinity
A1,2,71,71,Infinity
E1,3,45,71,Infinity
A1,2,71,71,Infinity
B2,3,27,71,Infinity
A1,2,71,71,Infinity
A3,3,43,71,Infinity
A1,2,71,71,Infinity
B3,3,63,71,Infinity
A1,2,71,71,Infinity
C3,3,46,71,Infinity
A1,2,71,71,Infinity
E3,3,18,71,Infinity
A1,2,71,71,Infinity
A4,3,35,71,Infinity
A1,2,71,71,Infinity
B4,3,27,71,Infinity
A1,2,71,71,Infinity
E4,3,17,71,Infinity
A1,2,71,71,Infinity
A5,3,40,71,Infinity
A1,2,71,71,Infinity
B5,3,45,71,Infinity
A1,2,71,71,Infinity
C5,3,38,71,Infinity
A1,2,71,71,Infinity
D5,3,36,71,Infinity
A1,2,71,71,Infinity
E5,3,25,71,Infinity
A1,2,71,71,Infinity
A2,1,71,63,71
B1,2,-Infinity,63,71
A1,3,71,63,71
B1,2,71,63,71
A2,1,71,63,71
E1,2,-Infinity,63,71
A1,3,25,63,71
E1,2,25,63,71
B1,3,21,63,71
E1,2,25,63,71
B2,3,17,63,71
E1,2,25,63,71
A3,3,33,63,71
E1,2,33,63,71
B3,3,53,63,71
E1,2,53,63,71
C3,3,36,63,71
E1,2,53,63,71
E3,3,8,63,71
E1,2,53,63,71
A4,3,25,63,71
E1,2,53,63,71
B4,3,17,63,71
E1,2,53,63,71
E4,3,7,63,71
E1,2,53,63,71
A5,3,30,63,71
E1,2,53,63,71
B5,3,35,63,71
E1,2,53,63,71
C5,3,28,63,71
E1,2,53,63,71
D5,3,26,63,71
E1,2,53,63,71
E5,3,15,63,71
E1,2,53,63,71
A2,1,53,63,71
root,0,63,63,Infinity
B2,1,Infinity,63,Infinity
A1,2,-Infinity,63,Infinity
B1,3,63,63,Infinity
A1,2,63,63,Infinity
E1,3,37,63,Infinity
A1,2,63,63,Infinity
A2,3,67,63,Infinity
A1,2,67,67,Infinity
A3,3,35,67,Infinity
A1,2,67,67,Infinity
B3,3,55,67,Infinity
A1,2,67,67,Infinity
C3,3,38,67,Infinity
A1,2,67,67,Infinity
E3,3,10,67,Infinity
A1,2,67,67,Infinity
A4,3,27,67,Infinity
A1,2,67,67,Infinity
B4,3,19,67,Infinity
A1,2,67,67,Infinity
E4,3,9,67,Infinity
A1,2,67,67,Infinity
A5,3,32,67,Infinity
A1,2,67,67,Infinity
B5,3,37,67,Infinity
A1,2,67,67,Infinity
C5,3,30,67,Infinity
A1,2,67,67,Infinity
D5,3,28,67,Infinity
A1,2,67,67,Infinity
